Team,PT,V,P,S,GF,GS
Juventus,83,26,5,7,76,43
Inter,82,24,10,4,81,36
Atalanta,78,23,9,6,98,48
Lazio,78,24,6,8,79,42
Roma,70,21,7,10,77,51
Milan,66,19,9,10,63,46
Napoli,62,18,8,12,61,50
Sassuolo,51,14,9,15,69,63
Fiorentina,49,12,13,13,51,48
Parma,49,14,7,17,56,57
Verona,49,12,13,13,47,51
Bologna,47,12,11,15,52,65
Cagliari,45,11,12,15,52,56
Udinese,45,12,9,17,37,51
Sampdoria,42,12,6,20,48,65
Torino,40,11,7,20,46,68
Genoa,39,10,9,19,47,73
Lecce,35,9,8,21,52,85
Brescia,25,6,7,25,35,79
Spal,20,5,5,28,27,77
