sep=	
Time	Channel1	Channel2
-0,005	-0,170961	-0,171955
-0,00498	-0,170961	0
-0,00496	-0,170961	-0,171955
-0,004940000000000001	-0,170961	0
-0,004920000000000001	0	0
-0,004900000000000001	-0,341922	0
-0,004880000000000001	-0,170961	0
-0,004860000000000001	0	-0,171955
-0,0048400000000000006	-0,170961	0
-0,0048200000000000005	-0,170961	-0,171955
-0,0048000000000000004	20,002437	0
-0,00478	19,489554000000002	0
-0,00476	19,318593	0
-0,00474	18,80571	0
-0,00472	18,121866	0
-0,0047	17,779944	0
-0,00468	17,438022	-0,171955
-0,00466	17,438022	0
-0,00464	16,925139	0
-0,00462	16,583217	-0,171955
-0,004600000000000001	16,412256	-0,171955
-0,004580000000000001	16,070334	-0,171955
-0,004560000000000001	15,728412	0
-0,004540000000000001	15,557451	-0,171955
-0,004520000000000001	15,215529	-0,171955
-0,0045000000000000005	15,215529	0
-0,0044800000000000005	14,873607	-0,171955
-0,00446	14,189763000000001	-0,171955
-0,00444	14,018802	-0,171955
-0,00442	13,847841	0
-0,0044	13,334958	0
-0,00438	13,163997	-0,171955
-0,00436	13,163997	0
-0,00434	12,651114	-0,171955
-0,00432	12,651114	-0,171955
-0,0043	12,309192	-0,171955
-0,00428	11,796309	-0,171955
-0,004260000000000001	11,625348	0
-0,004240000000000001	11,454387	-0,171955
-0,004220000000000001	11,454387	-0,171955
-0,004200000000000001	11,112465	0
-0,0041800000000000006	10,941504	0
-0,0041600000000000005	10,941504	0
-0,0041400000000000005	10,599582	-0,171955
-0,00412	10,599582	-0,171955
-0,0041	10,428621	0
-0,00408	10,086699	-0,171955
-0,00406	10,25766	0
-0,00404	9,915738	-0,171955
-0,00402	9,573816	0
-0,004	9,573816	0
-0,00398	9,231894	-0,171955
-0,00396	9,231894	-0,171955
-0,00394	9,060933	-0,171955
-0,003920000000000001	8,719011	0
-0,0039000000000000003	8,54805	-0,171955
-0,00388	8,377089	0
-0,00386	8,377089	-0,171955
