Time;Channel1;Channel2;Ch1 - Ch2
-0,025;7,6539;0,699295;6,954605
-0,0249;-7,9008;-1,053056;-6,847744
-0,0248;-7,9008;-1,053056;-6,847744
-0,0247;-7,9008;-1,053056;-6,847744
-0,0246;-7,8185;-1,053056;-6,765444
-0,0245;-7,8185;-1,053056;-6,765444
-0,0244;-7,8185;-1,053056;-6,765444
-0,0243;-7,6539;-1,053056;-6,600844
-0,0242;-7,6539;-1,053056;-6,600844
-0,0241;-7,6539;-1,053056;-6,600844
-0,024;-7,6539;-1,053056;-6,600844
-0,0239;-7,6539;-1,053056;-6,600844
-0,0238;-7,4893;-1,053056;-6,436244
-0,0237;-7,4893;-1,053056;-6,436244
-0,0236;-7,4893;-1,053056;-6,436244
-0,0235;-7,4893;-1,053056;-6,436244
-0,0234;-7,407;-1,053056;-6,353944
-0,0233;-7,407;-1,053056;-6,353944
-0,0232;-7,407;-1,053056;-6,353944
-0,0231;-7,3247;-1,053056;-6,271644
-0,023;-7,3247;-1,053056;-6,271644
-0,0229;-7,3247;-1,053056;-6,271644
-0,0228;-7,2424;-1,053056;-6,189344
-0,0227;-7,1601;-1,053056;-6,107044
-0,0226;-7,1601;-1,053056;-6,107044
-0,0225;-7,0778;-1,053056;-6,024744
-0,0224;-7,1601;-1,053056;-6,107044
-0,0223;-7,1601;-1,053056;-6,107044
-0,0222;-7,0778;-1,053056;-6,024744
-0,0221;-6,9955;-1,053056;-5,942444
-0,022;-6,9955;-1,053056;-5,942444
-0,0219;-6,9132;-1,053056;-5,860144
-0,0218;-6,9132;-1,053056;-5,860144
-0,0217;-6,9132;-1,053056;-5,860144
-0,0216;-6,9132;-1,053056;-5,860144
-0,0215;-6,8309;-1,053056;-5,777844
-0,0214;-6,8309;-1,053056;-5,777844
-0,0213;-6,7486;-1,053056;-5,695544
-0,0212;-6,7486;-1,053056;-5,695544
-0,0211;-6,7486;-1,053056;-5,695544
-0,021;-6,7486;-1,053056;-5,695544
-0,0209;-6,6663;-1,053056;-5,613244
-0,0208;-6,584;-1,053056;-5,530944
-0,0207;-6,584;-1,053056;-5,530944
-0,0206;-6,5017;-1,053056;-5,448644
-0,0205;-6,584;-1,053056;-5,530944
-0,0204;-6,5017;-1,053056;-5,448644
-0,0203;-6,4194;-1,053056;-5,366344
-0,0202;-6,4194;-1,053056;-5,366344
-0,0201;-6,4194;-1,053056;-5,366344
-0,02;-6,4194;-1,053056;-5,366344
-0,0199;-6,3371;-1,053056;-5,284044
-0,0198;-6,2548;-1,053056;-5,201744
-0,0197;-6,2548;-1,053056;-5,201744
-0,0196;-6,1725;-1,053056;-5,119444
-0,0195;-6,1725;-1,053056;-5,119444
-0,0194;-6,1725;-1,053056;-5,119444
-0,0193;-6,1725;-1,053056;-5,119444
-0,0192;-6,0902;-1,053056;-5,037144
-0,0191;-6,0902;-1,053056;-5,037144
-0,019;-6,0902;-1,053056;-5,037144
-0,0189;-6,0902;-1,053056;-5,037144
-0,0188;-5,9256;-1,053056;-4,872544
-0,0187;-6,0079;-1,053056;-4,954844
-0,0186;-5,9256;-1,053056;-4,872544
-0,0185;-5,9256;-1,053056;-4,872544
-0,0184;-5,8433;-1,053056;-4,790244
-0,0183;-5,8433;-1,053056;-4,790244
-0,0182;-5,761;-1,053056;-4,707944
-0,0181;-5,761;-1,053056;-4,707944
-0,018;-5,761;-1,053056;-4,707944
-0,0179;-5,6787;-1,053056;-4,625644
-0,0178;-5,5964;-1,053056;-4,543344
-0,0177;-5,6787;-1,053056;-4,625644
-0,0176;-5,6787;-1,053056;-4,625644
-0,0175;-5,5964;-1,053056;-4,543344
-0,0174;-5,5141;-1,053056;-4,461044
-0,0173;-5,5141;-1,053056;-4,461044
-0,0172;-5,4318;-1,053056;-4,378744
-0,0171;-5,4318;-1,053056;-4,378744
-0,017;-5,4318;-1,053056;-4,378744
-0,0169;-5,3495;-1,053056;-4,296444
-0,0168;-5,3495;-1,053056;-4,296444
-0,0167;-5,3495;-1,053056;-4,296444
-0,0166;-5,2672;-1,053056;-4,214144
-0,0165;-5,2672;-1,053056;-4,214144
-0,0164;-5,2672;-1,053056;-4,214144
-0,0163;-5,1849;-1,053056;-4,131844
-0,0162;-5,1026;-1,053056;-4,049544
-0,0161;-5,1026;-1,053056;-4,049544
-0,016;-5,1026;-1,053056;-4,049544
