Nadler	Hurley
56.9	52.9
63.2	59.2
65.5	63
73.6	66.2
74.1	64.8
77.1	69
77.3	67.1
77.5	70.1
77.8	69.2
78.9	73.8
79.5	71.8
80.8	73.3
81.2	73.1
81.9	74.7
82.2	74.1
83.1	74.1
84.4	76
84.9	75.4
86	74.6
86.3	79.2
86.3	77.8
86.6	80.8
86.6	77.6
86.6	77.5
87.1	78.6
87.5	78.7
87.8	81.5
88.6	79.3
89.3	78.9
89.6	85.9
90.3	80.7
91.1	80.6
92.1	82.8
93.5	86
94.5	84.3
94.6	87.6
95	84
95.2	85.9
95.3	84.4
95.6	85.2
95.9	85.2
96.4	89.2
97.2	87.8
97.5	88
97.9	88.7
98.2	91.2
98.5	91.8
98.8	92.5
98.9	88
99	93.5
99.3	89
99.3	89.4
99.9	89.2
100.1	91.3
101	90.4
101	91.2
101.5	91.4
101.5	93
101.5	91.2
101.8	92
101.8	91.8
102.8	96.8
102.9	92.8
103.2	94
103.8	93.5
104.4	95.8
104.8	97.1
105.1	97.3
105.5	95.1
105.7	95.8
106.1	95.5
106.8	95.9
107.2	95.4
107.4	97.3
107.5	97.7
107.5	93
108	97.6
108.2	96.1
108.6	96.2
109.1	99.5
110.1	99.8
111.2	105.3
111.7	103.6
111.7	100.2
112	100
113.1	98.8
116	110
116.7	103.5
118.8	109.4
119.7	112.1
120.7	111.3
122.8	108.6
124.7	112.4
126.4	113.8
127.6	115.6
128.2	118.1
129.6	116.8
130.4	121.6
133.2	115.8
